X,sp,pt,treatment,area,isolation,k,lnK
DBD1,BL,F,G,2.679726305,2.612400994,0.298509012,0.261216692
DBD1,BL,F,N,2.679726305,2.612400994,0.475421639,0.168916149
DBD1,CM,F,G,2.679726305,2.612400994,0.324238994,0.121966372
DBD1,CM,F,N,2.679726305,2.612400994,0.503325268,0.177052957
DBD1,FX,F,G,2.679726305,2.612400994,0.554549321,0.191604505
DBD1,FX,F,N,2.679726305,2.612400994,1.224280146,0.347189485
DBD1,MH,F,G,2.679726305,2.612400994,0.475421639,0.168916149
DBD1,MH,F,N,2.679726305,2.612400994,0.530954535,0.184962294
DBD1,QG,F,G,2.679726305,2.612400994,0.23070457,0.090153813
DBD1,QG,F,N,2.679726305,2.612400994,0.273217941,0.10490275
DBD1,XZ,F,G,2.679726305,2.612400994,0.476836562,0.169332436
DBD1,XZ,F,N,2.679726305,2.612400994,0.496387369,0.175044034
DBD2,BL,G,G,2.679726305,2.612400994,0.321305295,0.121003175
DBD2,BL,G,N,2.679726305,2.612400994,0.306660743,0.116162843
DBD2,CM,G,G,2.679726305,2.612400994,0.236667265,0.092252865
DBD2,CM,G,N,2.679726305,2.612400994,0.504893482,0.177505761
DBD2,FX,G,G,2.679726305,2.612400994,0.911504832,0.2813754
DBD2,FX,G,N,2.679726305,2.612400994,1.104042753,0.32305456
DBD2,MH,G,G,2.679726305,2.612400994,0.460279723,0.164436055
DBD2,MH,G,N,2.679726305,2.612400994,0.353913848,0.13159103
DBD2,QG,G,G,2.679726305,2.612400994,0.130434299,0.053245326
DBD2,QG,G,N,2.679726305,2.612400994,0.214412101,0.084366086
DBD2,XZ,G,G,2.679726305,2.612400994,0.437374046,0.157569799
DBD2,XZ,G,N,2.679726305,2.612400994,0.454544963,0.162727151
DCT1,BL,F,G,3.545127571,3.65611825,0.181236203,0.16656152
DCT1,BL,F,N,3.545127571,3.65611825,0.450743744,0.161590706
DCT1,CM,F,G,3.545127571,3.65611825,0.317803904,0.11985079
DCT1,CM,F,N,3.545127571,3.65611825,0.352133929,0.131019711
DCT1,FX,F,G,3.545127571,3.65611825,0.664326316,0.22123848
DCT1,FX,F,N,3.545127571,3.65611825,0.851029379,0.267413312
DCT1,MH,F,G,3.545127571,3.65611825,0.288418234,0.110056862
DCT1,MH,F,N,3.545127571,3.65611825,0.556385865,0.192117278
DCT1,QG,F,G,3.545127571,3.65611825,0.218978144,0.085995919
DCT1,QG,F,N,3.545127571,3.65611825,0.15297213,0.06181881
DCT1,XZ,F,G,3.545127571,3.65611825,0.390622304,0.143209191
DCT1,XZ,F,N,3.545127571,3.65611825,0.347584,0.129555846
DCT2,BL,G,G,3.545127571,3.65611825,0.413885791,0.15041433
DCT2,BL,G,N,3.545127571,3.65611825,0.339337503,0.12689003
DCT2,CM,G,G,3.545127571,3.65611825,0.383307082,0.1409186
DCT2,CM,G,N,3.545127571,3.65611825,0.295261908,0.112357594
DCT2,FX,G,G,3.545127571,3.65611825,0.62065621,0.209690898
DCT2,FX,G,N,3.545127571,3.65611825,0.604280491,0.205280302
DCT2,MH,G,G,3.545127571,3.65611825,0.230993958,0.090255921
DCT2,MH,G,N,3.545127571,3.65611825,0.415869795,0.151023317
DCT2,QG,G,G,3.545127571,3.65611825,0.214721492,0.084476716
DCT2,QG,G,N,3.545127571,3.65611825,0.216489079,0.085108214
DCT2,XZ,G,G,3.545127571,3.65611825,0.467638198,0.166619007
DCT2,XZ,G,N,3.545127571,3.65611825,0.593372847,0.202317412
DFS2,BL,F,G,1.078503305,4.179511254,0.295735715,0.259078654
DFS2,BL,F,N,1.078503305,4.179511254,0.502847764,0.17691499
DFS2,CM,F,G,1.078503305,4.179511254,0.310541479,0.117450771
DFS2,CM,F,N,1.078503305,4.179511254,0.734766523,0.239241033
DFS2,FX,F,G,1.078503305,4.179511254,0.78570591,0.251809936
DFS2,FX,F,N,1.078503305,4.179511254,0.666370716,0.221771625
DFS2,MH,F,G,1.078503305,4.179511254,0.395018551,0.144579983
DFS2,MH,F,N,1.078503305,4.179511254,0.534382881,0.185933744
DFS2,QG,F,G,1.078503305,4.179511254,0.285648561,0.109122268
DFS2,QG,F,N,1.078503305,4.179511254,0.301854104,0.114562317
DFS2,XZ,F,G,1.078503305,4.179511254,0.37001293,0.136724666
DFS2,XZ,F,N,1.078503305,4.179511254,0.685421148,0.226708439
DFS3,BL,G,G,1.078503305,4.179511254,0.22507809,0.088163773
DFS3,BL,G,N,1.078503305,4.179511254,0.804416915,0.25633689
DFS3,CM,G,G,1.078503305,4.179511254,0.249016422,0.096568148
DFS3,CM,G,N,1.078503305,4.179511254,0.659191757,0.219896581
DFS3,FX,G,G,1.078503305,4.179511254,0.920949853,0.283516028
DFS3,FX,G,N,1.078503305,4.179511254,1.438785358,0.387173579
DFS3,MH,G,G,1.078503305,4.179511254,0.344000887,0.128399555
DFS3,MH,G,N,1.078503305,4.179511254,0.672905913,0.223471516
DFS3,QG,G,G,1.078503305,4.179511254,0.263854663,0.101697135
DFS3,QG,G,N,1.078503305,4.179511254,0.404226761,0.147437245
DFS3,XZ,G,G,1.078503305,4.179511254,0.494033702,0.174360394
DFS3,XZ,G,N,1.078503305,4.179511254,0.855814914,0.268534661
DQSY1,BL,G,G,-2.732015048,4.069265505,0.357918309,0.132873644
DQSY1,BL,G,N,-2.732015048,4.069265505,0.342189539,0.12781385
DQSY1,CM,G,G,-2.732015048,4.069265505,0.270250183,0.103889266
DQSY1,CM,G,N,-2.732015048,4.069265505,0.352133929,0.131019711
DQSY1,FX,G,G,-2.732015048,4.069265505,0.698122859,0.229969108
DQSY1,FX,G,N,-2.732015048,4.069265505,1.514422382,0.400438234
DQSY1,MH,G,G,-2.732015048,4.069265505,0.263511415,0.10157917
DQSY1,MH,G,N,-2.732015048,4.069265505,0.44242097,0.159092028
DQSY1,QG,G,G,-2.732015048,4.069265505,0.160177978,0.064524618
DQSY1,QG,G,N,-2.732015048,4.069265505,0.185198753,0.073791186
DQSY1,XZ,G,G,-2.732015048,4.069265505,0.301014989,0.1142823
DQSY1,XZ,G,N,-2.732015048,4.069265505,0.335727106,0.125717739
DS1,BL,F,G,4.695648922,3.609315633,0.186512947,0.171018709
DS1,BL,F,N,4.695648922,3.609315633,0.476625744,0.169270436
DS1,CM,F,G,4.695648922,3.609315633,0.298586528,0.113470893
DS1,CM,F,N,4.695648922,3.609315633,0.579895284,0.198628303
DS1,FX,F,G,4.695648922,3.609315633,0.532257319,0.185331704
DS1,FX,F,N,4.695648922,3.609315633,1.079339315,0.317925365
DS1,MH,F,G,4.695648922,3.609315633,0.411871816,0.149795269
DS1,MH,F,N,4.695648922,3.609315633,0.512761971,0.179770598
DS1,QG,F,G,4.695648922,3.609315633,0.294099945,0.111967819
DS1,QG,F,N,4.695648922,3.609315633,0.256498296,0.099161904
DS1,XZ,F,G,4.695648922,3.609315633,0.395953435,0.144870932
DS1,XZ,F,N,4.695648922,3.609315633,0.55712395,0.192323185
DS3,BL,F,G,4.695648922,3.609315633,0.256054629,0.227975562
DS3,BL,F,N,4.695648922,3.609315633,0.622857367,0.210280351
DS3,CM,F,G,4.695648922,3.609315633,0.416302492,0.151156019
DS3,CM,F,N,4.695648922,3.609315633,0.507766755,0.178334163
DS3,FX,F,G,4.695648922,3.609315633,0.518615235,0.181447752
DS3,FX,F,N,4.695648922,3.609315633,0.791164407,0.253135451
DS3,MH,F,G,4.695648922,3.609315633,0.36531516,0.135232913
DS3,MH,F,N,4.695648922,3.609315633,0.402369394,0.146862425
DS3,QG,F,G,4.695648922,3.609315633,0.205004144,0.08098854
DS3,QG,F,N,4.695648922,3.609315633,0.232341643,0.090731124
DS3,XZ,F,G,4.695648922,3.609315633,0.416584753,0.151242563
DS3,XZ,F,N,4.695648922,3.609315633,0.882041482,0.274629191
DS4,BL,F,G,4.695648922,3.609315633,0.407427851,0.341763819
DS4,BL,F,N,4.695648922,3.609315633,0.458525501,0.163914027
DS4,CM,F,G,4.695648922,3.609315633,0.369126672,0.136443631
DS4,CM,F,N,4.695648922,3.609315633,0.637725276,0.214241052
DS4,FX,F,G,4.695648922,3.609315633,0.596797613,0.203249875
DS4,FX,F,N,4.695648922,3.609315633,0.727582625,0.237438828
DS4,MH,F,G,4.695648922,3.609315633,0.487723676,0.172522275
DS4,MH,F,N,4.695648922,3.609315633,0.299452693,0.113760473
DS4,QG,F,G,4.695648922,3.609315633,0.23070457,0.090153813
DS4,QG,F,N,4.695648922,3.609315633,0.524074523,0.183006203
DS4,XZ,F,G,4.695648922,3.609315633,0.494261101,0.174426491
DS4,XZ,F,N,4.695648922,3.609315633,0.701667402,0.230874679
DS5,BL,G,G,4.695648922,3.609315633,0.268229026,0.103197689
DS5,BL,G,N,4.695648922,3.609315633,0.312298004,0.118032468
DS5,CM,G,G,4.695648922,3.609315633,0.239282898,0.093170457
DS5,CM,G,N,4.695648922,3.609315633,0.787352379,0.252210183
DS5,FX,G,G,4.695648922,3.609315633,0.592349424,0.202038375
DS5,FX,G,N,4.695648922,3.609315633,1.493312907,0.396776785
DS5,MH,G,G,4.695648922,3.609315633,0.249952358,0.09689346
DS5,MH,G,N,4.695648922,3.609315633,0.450367958,0.161478197
DS5,QG,G,G,4.695648922,3.609315633,0.23070457,0.090153813
DS5,QG,G,N,4.695648922,3.609315633,0.285657688,0.109125351
DS5,XZ,G,G,4.695648922,3.609315633,0.239829521,0.093361973
DS5,XZ,G,N,4.695648922,3.609315633,0.849144356,0.266970816
FD1,BL,F,G,2.040276397,1.941285488,0.280788449,0.247475864
FD1,BL,F,N,2.040276397,1.941285488,0.392868723,0.143910186
FD1,CM,F,G,2.040276397,1.941285488,0.329974621,0.123843354
